 ,English,Vietnamese,French,
mainMenu.start  ,,,Commencer,
mainMenu.end    ,,,Fin,
mainMenu.options,,,Options,
mainMenu.Leave,"Experience complete, please place the headset back on its stand.","Trải nghiệm đã kết thúc, vui lòng đặt kính thực tế ảo trở lại giá đỡ.","Expérience terminée, merci de reposer le casque sur son support.",
,,,,
narrator.dialogue.01,"Hello, my name is Hoai, I live in the Red River Delta. It is July 23, 1926.","Xin chào, tôi tên là Hoài, tôi sống ở đồng bằng sông Hồng. Hôm nay là ngày 23 tháng 7 năm 1926.","Bonjour, je m’appelle Hoai, j’habite le delta du Fleuve rouge. Nous sommes le 23 Juillet 1926.",
narrator.dialogue.02,For a month now the water level of the river has been rising steadily.,Đã hơn một tháng nay mực nước sông không ngừng dâng cao.,Depuis un mois la hauteur d’eau du fleuve ne cesse d’augmenter.,
narrator.dialogue.03,The local authorities fear a flood…,Nhà chức trách đang bày tỏ lo ngại về một trận lũ lụt…,Les autorités locales redoutent une crue…,
narrator.dialogue.04,"Fortunately, the delta is protected by a network of dikes stretching over 2,500 kilometres, but it is difficult to maintain.","May thay, đồng bằng sông Hồng được bảo vệ bởi một mạng lưới đê điều dài hơn 2.500 ki-lô-mét, nhưng việc bảo dưỡng gặp nhiều khó khăn.","Heureusement, le delta est protégé par un réseau de digues qui fait plus de 2500 kilomètres, mais il est difficile à entretenir.",
narrator.dialogue.05,"If the dikes on the Gia Lâm side were to break, the damage to crops and homes would be enormous.","Nếu các con đê phía bờ đông bị vỡ, thiệt hại đối với mùa màng và nhà cửa sẽ rất đáng kể.","Si les digues côté Gia Lâm venaient à rompre, les dégâts seraient considérables sur les cultures et les habitations.",
narrator.dialogue.06,"I am also worried about Hà Nội, even though the dikes are better maintained and higher on this side, the city is on alert.","Tôi cũng lo ngại cho Hà Nội, dù các con đê phía này được bảo dưỡng tốt hơn và cao hơn, thành phố vẫn nằm trong mức đáng báo động.","J’ai aussi peur pour Hà Nội, même si les digues sont mieux entretenues et plus hautes de ce côté, la ville est en alerte. ",
narrator.dialogue.07,"Soon you will be able to watch the rising waters in fast-forward, but before that, let's take a closer look at Hà Nội in 1926!","Một chút nữa chúng ta sẽ cùng nhau xem cảnh nước dâng theo chế độ tua nhanh, nhưng trước đó hãy cùng ngắm nhìn Hà Nội năm 1926 một cách chi tiết hơn nào!","D’ici peu, tu vas pouvoir observer en accéléré la montée de l’eau mais avant ça, allons voir le Hà Nội de 1926 de plus près ! ",
narrator.dialogue.08,"If you get closer to some buildings, information will appear.","Hãy bước tới gần và nhấn vào một trong số các công trình phía dưới, một vài thông tin về chúng sẽ được hiển thị.","Si tu t’approches de certains bâtiments, des informations vont apparaître",
narrator.dialogue.09,"The 36 Streets quarter was already there at the time, concentrating the largest part of the population.","36 phố phường Hà Nội đã có mặt từ thời đó, tập trung phần lớn dân số của thành phố.",Le quartier des 36 corporations concentrait la plus grande partie de la population. ,
narrator.dialogue.10,Do you recognize the Presidential Palace? At the time it was white.,Bạn có nhận ra Phủ Chủ Tịch không? Hồi đó nó được sơn màu trắng.,"Tu reconnais le palais présidentiel ? A l’époque, il était blanc. ",
narrator.dialogue.11,"The Trấn Quốc Pagoda did not yet have its stupa. In the 17th century, the temple had been moved away from the banks of the Red River to protect it from floods.","Chùa Trấn Quốc lúc đó chưa có tháp. Vào thế kỷ 17, ngôi chùa đã được dời khỏi bờ sông Hồng để bảo vệ khỏi những cơn lũ.","La Pagode Trấn Quốc n’avait pas encore son stupa. Au 17e siècle, le temple avait été justement déplacé depuis les rives du Fleuve Rouge afin de le protéger des crues. ",
narrator.dialogue.12,The water is about to start rising. Watch the Red River closely.,Nước sắp bắt đầu dâng lên. Hãy nhìn kỹ xuống sông Hồng.,"L’eau va commencer à monter, regarde bien le fleuve rouge.",
narrator.dialogue.13,"The Red River level is almost at 10 metres, it's enormous!","Mực nước sông Hồng đã chạm gần 10 mét, thật đáng sợ!","La hauteur du fleuve Rouge est presque à 10 mètres, c’est énorme !","Catastrophe ! Le fleuve Rouge va bientôt atteindre 12 mètres. 2 mètres en 2 jours, c’est énorme !"
narrator.dialogue.14,Reinforcement dikes are being built on the Hanoi side.,Các đê gia cố đang được xây dựng ở phía Hà Nội.,Des diguettes de renfort sont en train d’être construites du côté de Hà Nội.,Des diguettes de renfort sont en train d’être construites du côté de Hà Nội.
narrator.dialogue.15,"Catastrophe! The Red River will soon reach 12 metres. 2 metres in 2 days, it's enormous! The pressure is too strong, the old Gia Quất dike will not hold much longer…","Nguy kịch quá! Sông Hồng sắp đạt 12 mét. Đó là 2 mét trong 2 ngày, vô cùng kinh khủng! Áp lực nước đang là quá lớn, đê Gia Quất cũ sắp vỡ…","Catastrophe ! Le fleuve Rouge va bientôt atteindre 12 mètres. 2 mètres en 2 jours, c’est énorme ! La pression est trop forte, l’ancienne digue de Gia Quất ne va pas tarder à céder...","La pression est trop forte, l’ancienne digue de Gia Quất ne va pas tarder à céder…"
narrator.dialogue.16,What a tragedy.. the old Gia Quất dike has just collapsed.,Thật không may làm sao... đê Gia Quất cũ vừa bị vỡ.,Quel malheur.. l’ancienne digue de Gia Quất vient de céder.,
narrator.dialogue.17,"Look at what is happening on the sandbank! The thatched huts are being flooded. Let's go closer, click on the circle to see the scene at eye level!","Hãy nhìn xem chuyện gì đang xảy ra trên bãi bồi! Những túp lều tranh đang bị ngập nước. Cùng lại gần hơn nào, nhấp vào vòng tròn để xem khung cảnh cận mắt!","Regarde ce qu’il se passe sur le banc de sable ! Les paillotes sont en train d’être inondées. Allons voir ça de plus près, clique sur le cercle pour regarder la scène à hauteur d'homme !",
narrator.dialogue.18,Look at the new Gia Quất dike!,Hãy nhìn con đê Gia Quất mới kìa!,Regarde la nouvelle digue de Gia Quất ! ,
narrator.dialogue.19,"The new Gia Quất dike has just broken! But it is not over, look at the ones at Ái Mộ and Lâm Du.","Đê Gia Quất mới vừa bị vỡ! Nhưng còn nữa, hãy nhìn tiếp những đê ở Ái Mộ và Lâm Du.","La nouvelle digue de Gia Quất vient de rompre ! Mais ce n’est pas terminé, regarde celles de Ái Mộ et Lâm Du. ",
narrator.dialogue.20,"The dikes at Ái Mộ and Lâm Du have just broken! It is terrible, Gia Lâm is flooded. Troops are being sent to rescue the inhabitants.","Nhiều đoạn đê phía bờ đông cũng vừa bị vỡ! Thật tồi tệ, cả một vùng tả ngạn đã bị ngập. Quân đội đang được điều động để cứu hộ người dân.","Les digues de Ái Mộ et Lâm Du viennent de rompre ! C’est terrible, Gia Lâm est inondé. Des troupes sont envoyées pour sauver les habitants. ",
narrator.dialogue.21,"Look, the river level is 60 cm above the quay in Hà Nội. Emergency dikes have been built to prevent flooding. Click on the circle to see the scene at eye level!",Nhìn kìa. Mực nước sông đã cao hơn 60 xăng-ti-mét so với bến tàu tại Hà Nội. Các bờ bao cát dã chiến đang được đắp lên khẩn trương để ngăn lũ. Nhấp vào vòng tròn để xem cảnh này cận mắt!,"Regarde, le niveau du fleuve est 60 cm au-dessus du quai à Hà Nội. Des diguettes ont été construites en urgence pour empêcher l'inondation. Clique sur le cercle pour regarder la scène à hauteur d'homme !",
narrator.dialogue.22,"It is terrible, the provinces of Bắc Ninh and parts of Hưng Yên, Hải Dương and Thái Binh are flooded!","Toàn tỉnh Bắc Ninh và một phần các tỉnh Hưng Yên, Hải Dương và Thái Bình đang chìm trong biển nước, thật tồi tệ làm sao!","C’est terrible, les provinces de Bắc Ninh et une partie des provinces de Hưng Yên, Hải Dương et Thái Binh sont inondées !",
narrator.dialogue.23,The authorities are urgently mobilising resources to help flood victims. Gia Lâm is completely flooded. The railway line has been cut between Hà Nội and Hải Phòng. Click on the circle to see it at eye level.,Các cơ quan chức năng đang khẩn trương huy động mọi nguồn lực để giúp đỡ người dân gặp nạn. Cả vùng tả ngạn đã chìm trong biển nước. Tuyến đường sắt giữa Hà Nội và Hải Phòng bị cắt đứt. Nhấn vào vòng tròn để được xem trực tiếp.,Les autorités mobilisent en urgence des moyens pour aider les sinistrés. Gia Lâm est complètement inondée. La voie ferrée a été coupée entre Hà Nội et Hải Phòng. Clique sur le cercle pour regarder ça à hauteur d'homme.,
narrator.dialogue.24,"The flood is finally calming down, what a relief. It will take several weeks for the river to return to its bed and 3 months to seal the breach at Lâm Du!","Lũ cuối cùng cũng đang lắng xuống, nhẹ nhõm thay. Sẽ mất vài tuần để sông Hồng có thể trở về lòng sông cũ và 3 tháng để hàn kín vết vỡ trên các tuyến đê!","La crue se calme enfin, ouf. Il faudra plusieurs semaines pour que le fleuve rentre dans son lit et 3 mois pour colmater la brèche de Lâm Du !",
narrator.dialogue.25,This is the level of a normal monsoon.,Đây là mức nước của một mùa mưa bình thường.,"Là, c’est le niveau d’une mousson normale.",
narrator.dialogue.26,See how just a few days of rain can change everything.,"Nhìn xem, chỉ vài ngày mưa mà có thể thay đổi mọi thứ như thế nào.",Regarde comme quelques jours de pluie peuvent tout changer. ,
narrator.dialogue.27,The Red River has reached nearly 12 metres in Hà Nội. That is twice the alert threshold!,Sông Hồng đã đạt gần 12 mét tại Hà Nội. Đó là gấp đôi ngưỡng báo động!,Le fleuve rouge a atteint près de 12 mètres à Hà Nội. C’est deux fois le seuil d’alerte ! ,
narrator.dialogue.28,"In Gia Lâm, there were more than two thousand disaster victims and around a hundred people lost their lives. In the Red River Delta, many villages and 220,000 hectares of rice fields were flooded.","Ở vùng tả ngạn, hơn hai nghìn người chịu ảnh hưởng của cơn lũ và khoảng một trăm người đã thiệt mạng. Còn tại đồng bằng sông Hồng, nhiều làng mạc và 220.000 héc-ta ruộng lúa đã bị ngập lụt.","À Gia Lâm, il y a eu plus de deux milles sinistrés et une centaine de personnes ont perdu la vie. Dans le delta du fleuve Rouge, de nombreux villages et 220 000 hectares de rizières ont été inondés. ",
narrator.dialogue.29,"Following this flood, 800 kilometres of dikes were raised and the riverbanks were reinforced with stone.","Sau trận lũ này, 800 ki-lô-mét đê điều đã được xây cao lên và các bờ sông được gia cố bằng đá.","A la suite de cette crue, 800 kilomètres de digues ont été réhaussés, et les berges des fleuves empierrées.",
narrator.dialogue.30,"This reinforcement proved effective - during the subsequent floods between 1926 and 1937, the strengthened dikes held!","Biện pháp gia cố này đã chứng tỏ hiệu quả – trong các trận lũ tiếp theo từ năm 1926 đến 1937, các tuyến đê được gia cố vẫn trụ vững!","Ce renforcement a été efficace, lors des crues suivantes entre 1926 et 1937, les digues renforcées ont tenu ! ",
narrator.dialogue.31,"Learning to live with the river, that is the challenge of water management! We learn from the past, we reinforce the structures, we anticipate. The river, for its part, never stops.","Con sông chưa bao giờ ngừng chảy. Vì vậy, quản lý nước luôn là một thách thức lâu dài: rút kinh nghiệm từ quá khứ, gia cố các công trình và chủ động dự liệu, phòng ngừa từ sớm.","Apprendre à vivre avec le fleuve, c’est ça le défi de l'aménagement hydraulique ! On apprend du passé, on renforce les ouvrages, on anticipe. Le fleuve, lui, ne s'arrête jamais.",
narrator.dialogue.32,"In the past, there was talk of levelling the dikes, but that debate is closed. If we want to protect cities, villages, factories, fields and roads, we must always maintain and consolidate the dikes.","Trước đây, từng có ý kiến cho rằng nên phá bỏ các tuyến đê, nhưng cuộc tranh luận ấy nay đã khép lại. Đối với đồng bằng sông Hồng, nếu muốn bảo vệ các thành phố, làng mạc, nhà máy, đồng ruộng và đường sá, chúng ta phải luôn duy tu và củng cố hệ thống đê điều.","Avant, il était question d'arraser les digues, mais ce débat est clos. Si l’on veut protéger les villes, les villages, les usines, les champs et les routes il faut toujours entretenir et consolider les digues.",
narrator.dialogue.33,"The proof: today the average height of the dikes is 17 metres above sea level, nearly 4 metres more than in 1926.","Và ngày nay, hệ thống ấy đã mạnh hơn năm 1926 rất nhiều: đê được nâng cấp, gia cố vững chắc, kết hợp với các hồ chứa lớn ở thượng nguồn cùng mạng lưới quan trắc và điều tiết dòng chảy, nhờ đó công tác phòng chống lũ ngày càng được quản lý chủ động và bài bản. Bằng chứng là hiện tại, chiều cao trung bình của các con đê là 17 mét so với mực nước biển, tức là gần 4 mét cao hơn so với năm 1926.","La preuve : aujourd'hui, la hauteur moyenne des digues est de 17 mètres par rapport au niveau de la mer soit près de 4 mètres de plus qu’en 1926.",
narrator.dialogue.34,"There you go, now you know more about this flood and the complexities of water management.",Vậy là giờ bạn đã có thêm những kiến thức về trận lũ lịch sử này cùng với những thách thức trong công tác quản lý nước.,"Voilà, maintenant tu en sais plus sur cette crue mais aussi sur les complexités de la gestion hydraulique.",
narrator.dialogue.35,"If you wish, you can continue to explore the map. When you are done, remember to place the VR headset back on its stand. Goodbye!","Nếu muốn, bạn có thể tiếp tục khám phá bản đồ. Khi nào sử dụng xong, đừng quên đặt kính thực tế ảo trở lại giá đỡ nhé. Tạm biệt!","Si tu le souhaites, tu peux continuer à explorer la carte. Quand tu auras terminé, pense bien à reposer le casque sur son support. Au revoir ! ",
,,,,
narrator.dialogue.diorama1.01,"Here, the water has invaded the homes. Residents must use boats to get around, the inhabitants are being evacuated!","Ở đây, nước đã tràn vào nhà cửa. Người dân phải dùng thuyền để di chuyển, các hộ dân đang được sơ tán!","Ici l'eau a envahi les habitations. Les résidents doivent utiliser des barques pour se déplacer, les habitants sont en train d'être évacués ! ",
narrator.dialogue.diorama1.02,"On July 27, the thatched huts along the Red River on the Hà Nội side had already been evacuated. All the people had been relocated to the old cotton mill in Hà Nội.","Ngày 27 tháng 7, những cư dân sống dọc sông Hồng phía Hà Nội đã được sơ tán. Tất cả mọi người đã được chuyển đến nhà máy bông cũ ở Hà Nội.","Le 27 juillet, les paillotes au bord du Fleuve Rouge côté Hà Nội ont déjà été évacuées. Toutes les personnes ont été installées dans l'ancienne filature de coton de Hà Nội.",
narrator.dialogue.diorama1.03,Let's go back to watch the flood - the water keeps rising.,Mực nước của cơn lũ vẫn còn đang lên - hãy quay lại để quan sát tiếp nào.,"Retournons voir la crue, l’eau continue à monter. ",
narrator.dialogue.diorama2.01,"The water is really high, impressive! The emergency dikes were built by more than 250 people in record time.","Nước thật sự rất cao, thật đáng kinh ngạc! Các tuyến đê khẩn cấp đã được hơn 250 người xây lên trong thời gian kỷ lục.","L’eau est vraiment haute, c’est impressionnant ! Les diguettes ont été construites par plus de 250 personnes en un temps record.",
narrator.dialogue.diorama2.02,"On the Gia Lâm side, the dikes were shorter and less well maintained. Perhaps if they had not given way and released part of the floodwaters, Hà Nội would have been flooded.","Ở phía Gia Lâm, các con đê thấp hơn và ít được bảo dưỡng hơn. Có lẽ nếu chúng không bị vỡ và giải phóng một phần nước lũ, Hà Nội đã bị ngập lụt.","Du côté de Gia Lâm, les digues étaient moins hautes et moins bien entretenues. Peut-être que si elles n’avaient pas cédé et libéré une partie des flots, Hà Nội aurait été inondé.",
narrator.dialogue.diorama3.01,"The river level is truly impressive, the water has swept everything in its path!","Mực nước sông đáng sợ thật đó, chúng cuốn trôi tất cả mọi thứ trên đường đi!","Le niveau du fleuve est vraiment impressionnant, l’eau a tout emporté sur son passage ! ",
narrator.dialogue.diorama3.02,Getting passengers to Hải Phòng requires alternating between boat and train. Repairing the line will demand a great deal of manpower.,Việc đưa hành khách đến Hải Phòng phải kết hợp luân phiên giữa tàu thuyền và xe lửa. Khôi phục tuyến đường sắt sẽ đòi hỏi rất nhiều nhân lực.,Le transport des voyageurs vers Hải Phòng nécessite d’alterner bateau et train. La réparation de la ligne va demander beaucoup de main d'œuvre. ,
,,,,
narrator.dialogue.diorama4.01,"This neighborhood is a purely Vietnamese commercial enclave, contrasting with the French Quarter to the south, with its wide boulevards.","Khu vực này là một không gian đậm nét Việt, sầm uất với các hoạt động thương mại, tạo nên sự tương phản với khu phố Pháp ở phía nam, nổi bật với những đại lộ rộng lớn."," Ce quartier est une enclave purement vietnamienne et commerçante, contrastant avec le « Quartier Français » aux larges boulevards situé plus au sud.",
narrator.dialogue.diorama4.02,"Here, the streets are narrower and bear the name of the guild that once worked there: the embroiderers' street, the paper merchants', the blacksmiths'…","Ở đây, đường xá hẹp hơn và phố phường được mang tên của các làng nghề truyền thống của chúng: Hàng Thêu, Hàng Giấy, hay Phố Lò Rèn...","Ici, les rues sont plus étroites et portent le nom de la corporation qui y travaillait : la rue des brodeurs, celle des marchands de papier, celle des forgerons…",
